height_cm,weight_kg,preferred_foot,skill_moves,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_heading_accuracy,skill_curve,skill_fk_accuracy,skill_long_passing,movement_agility,movement_balance,power_jumping,mentality_aggression,mentality_penalties,position
191,84,1,5,71.0,81.0,86.0,86.0,65.0,83.0,77,74,85,82,92,73,67,82,78,81,CM
165,60,1,4,64.0,61.0,87.0,91.0,79.0,67.0,82,57,85,64,89,91,94,67,89,64,CM
183,75,1,3,81.0,53.0,75.0,74.0,89.0,81.0,68,88,58,32,85,69,67,92,81,52,CB
189,82,1,3,81.0,82.0,82.0,84.0,81.0,86.0,75,86,76,75,84,76,71,79,81,60,CM
177,75,0,4,84.0,86.0,86.0,90.0,40.0,60.0,82,59,90,88,79,92,94,75,43,84,CF
178,64,0,3,84.0,61.0,81.0,81.0,82.0,76.0,88,67,82,71,76,78,74,62,85,55,LB
180,74,1,4,81.0,69.0,85.0,88.0,77.0,78.0,78,72,84,64,87,88,79,76,75,45,CM
180,69,1,3,79.0,68.0,88.0,80.0,80.0,72.0,92,69,87,85,90,73,73,66,74,55,RB
180,76,1,5,81.0,76.0,82.0,91.0,36.0,65.0,82,38,84,65,70,91,90,51,44,62,RM
187,82,1,2,61.0,38.0,65.0,68.0,88.0,88.0,54,87,46,48,74,59,56,78,92,45,CB
187,85,0,2,68.0,46.0,60.0,59.0,89.0,85.0,63,77,60,31,67,53,57,91,88,50,CB
191,96,1,3,56.0,59.0,77.0,73.0,89.0,77.0,65,88,66,53,86,61,62,70,71,68,CB
170,68,0,3,86.0,69.0,81.0,83.0,77.0,71.0,85,70,80,63,79,90,85,80,75,59,LB
174,70,1,5,63.0,72.0,86.0,90.0,70.0,66.0,78,54,85,77,89,91,90,80,72,75,CM
189,76,1,3,42.0,62.0,79.0,80.0,82.0,75.0,62,68,66,68,85,67,50,66,81,60,CDM
182,74,1,3,50.0,83.0,90.0,81.0,71.0,69.0,86,61,88,90,90,63,72,49,58,88,CM
163,59,1,4,87.0,78.0,85.0,90.0,36.0,45.0,77,59,87,86,84,89,93,50,34,87,LW
187,89,1,2,81.0,28.0,51.0,65.0,87.0,85.0,30,84,28,28,63,51,34,82,83,33,CB
191,81,1,2,82.0,49.0,64.0,65.0,87.0,82.0,42,86,46,52,76,62,39,81,80,43,CB
179,67,0,5,81.0,79.0,81.0,90.0,38.0,60.0,81,48,85,78,75,92,88,56,48,70,RW
180,77,0,3,79.0,86.0,77.0,84.0,46.0,73.0,77,82,75,62,75,77,70,76,61,85,ST
179,74,1,3,85.0,84.0,70.0,80.0,52.0,73.0,69,79,68,60,60,76,76,80,87,85,ST
188,78,1,3,67.0,69.0,78.0,78.0,85.0,83.0,75,75,71,53,82,64,64,75,85,90,CDM
182,74,1,4,85.0,71.0,83.0,84.0,80.0,72.0,86,72,84,69,78,80,78,72,73,46,RB
191,85,0,2,63.0,50.0,72.0,69.0,86.0,80.0,58,84,61,69,80,57,60,80,81,44,CB
180,76,1,4,93.0,76.0,79.0,88.0,30.0,60.0,79,61,83,70,74,91,84,73,35,70,LM
173,64,0,4,80.0,76.0,83.0,91.0,54.0,67.0,85,51,84,67,76,94,92,51,70,68,CAM
184,74,1,3,88.0,80.0,81.0,82.0,78.0,82.0,74,67,73,58,83,82,69,69,83,64,CM
191,82,1,3,61.0,70.0,77.0,78.0,82.0,82.0,63,78,65,54,83,65,65,72,76,46,CDM
188,80,1,2,80.0,41.0,53.0,69.0,87.0,84.0,40,81,34,30,49,54,56,84,84,56,CB
167,68,1,4,87.0,78.0,84.0,87.0,39.0,55.0,83,38,85,79,80,93,93,70,56,72,CAM
183,79,1,2,53.0,54.0,72.0,72.0,86.0,78.0,60,81,62,61,80,67,66,88,76,60,CB
173,67,0,4,63.0,74.0,87.0,87.0,52.0,53.0,83,53,82,77,83,84,89,61,56,75,CAM
185,77,1,3,66.0,86.0,70.0,76.0,51.0,79.0,68,88,76,74,52,68,57,88,81,85,ST
175,74,1,4,84.0,80.0,82.0,88.0,35.0,63.0,77,61,83,79,81,87,89,55,54,87,LW
190,85,1,2,64.0,58.0,69.0,72.0,86.0,80.0,44,83,56,60,81,59,53,90,82,70,CB
180,80,1,4,65.0,80.0,85.0,86.0,73.0,72.0,78,50,86,80,85,77,77,61,70,80,CM
180,71,1,4,73.0,84.0,84.0,85.0,47.0,63.0,85,44,88,85,79,83,82,68,51,76,CAM
183,83,1,3,92.0,63.0,76.0,78.0,80.0,82.0,77,74,76,71,77,66,69,83,84,63,RB
187,80,1,4,89.0,85.0,75.0,80.0,35.0,69.0,76,73,81,76,64,77,67,75,43,83,ST
176,75,1,3,70.0,75.0,85.0,81.0,79.0,80.0,85,61,85,76,84,73,82,59,79,67,CM
189,78,1,2,72.0,41.0,64.0,70.0,87.0,79.0,49,84,45,16,71,61,59,79,77,41,CB
181,76,1,5,77.0,78.0,79.0,89.0,59.0,78.0,73,78,81,65,76,85,86,81,75,72,CF
176,78,1,5,82.0,83.0,82.0,84.0,30.0,79.0,84,65,85,83,76,80,81,69,72,76,CF
173,73,1,3,80.0,54.0,78.0,80.0,81.0,80.0,82,72,76,47,74,79,81,77,84,45,RB
180,68,1,3,55.0,67.0,86.0,81.0,73.0,73.0,75,56,75,76,89,77,72,58,79,91,CM
176,77,1,4,83.0,84.0,79.0,86.0,43.0,69.0,74,42,74,62,78,87,88,65,63,68,RM
191,76,1,4,68.0,79.0,80.0,81.0,79.0,86.0,64,86,80,78,85,62,63,85,79,56,CM
183,74,1,3,67.0,62.0,69.0,74.0,87.0,83.0,53,72,60,60,75,69,66,90,87,57,CDM
181,79,0,3,82.0,82.0,81.0,84.0,41.0,63.0,82,60,77,71,73,83,80,72,52,84,LW
174,72,1,4,84.0,81.0,72.0,85.0,48.0,84.0,56,87,78,43,73,86,89,88,86,74,ST
186,70,1,5,90.0,84.0,79.0,84.0,43.0,77.0,80,68,83,76,71,84,75,74,73,84,LM
181,73,1,3,95.0,71.0,78.0,83.0,76.0,78.0,86,68,68,55,73,86,79,80,75,46,RB
189,89,1,2,73.0,59.0,60.0,69.0,84.0,87.0,52,85,48,55,63,60,62,93,83,40,CB
195,95,1,5,65.0,87.0,78.0,79.0,34.0,77.0,72,83,80,75,73,71,53,79,84,83,ST
172,60,1,4,87.0,69.0,81.0,83.0,79.0,58.0,85,73,82,46,79,82,84,63,75,56,RB
194,85,1,2,58.0,61.0,71.0,68.0,85.0,78.0,57,84,58,43,80,57,35,74,79,69,CB
169,61,1,4,85.0,82.0,80.0,88.0,34.0,50.0,73,40,82,82,72,93,92,58,59,79,CF
175,74,1,4,77.0,75.0,80.0,86.0,79.0,79.0,72,78,78,73,81,84,88,81,75,74,CM
182,80,1,3,66.0,74.0,83.0,79.0,78.0,81.0,82,65,80,74,87,69,68,78,83,64,CDM
183,76,1,3,66.0,62.0,75.0,74.0,83.0,82.0,62,74,65,53,79,70,62,76,85,54,CDM
173,69,1,3,73.0,63.0,82.0,77.0,80.0,72.0,86,79,86,82,80,73,77,78,73,66,RB
176,67,0,3,82.0,85.0,79.0,86.0,35.0,63.0,80,77,79,83,73,90,72,66,63,82,ST
180,78,0,3,77.0,70.0,81.0,80.0,83.0,76.0,80,74,77,85,80,76,77,81,74,79,CB
183,74,1,4,60.0,76.0,86.0,84.0,57.0,59.0,69,49,86,79,90,69,83,53,29,56,CAM
181,76,0,4,69.0,81.0,85.0,85.0,43.0,76.0,86,66,85,79,80,76,84,59,56,86,LW
170,68,1,4,82.0,84.0,77.0,87.0,39.0,70.0,74,74,82,76,66,91,91,78,62,85,ST
178,74,0,3,79.0,69.0,80.0,80.0,80.0,76.0,88,71,83,83,73,74,78,94,76,60,LB
190,79,0,5,75.0,86.0,84.0,86.0,40.0,67.0,82,58,85,83,77,83,73,34,58,78,CF
194,100,1,2,50.0,55.0,69.0,70.0,85.0,87.0,51,87,48,46,84,50,41,85,84,44,CB
187,80,1,2,64.0,35.0,57.0,58.0,87.0,76.0,35,84,34,28,72,59,45,86,86,37,CB
178,76,1,3,78.0,84.0,81.0,80.0,67.0,78.0,74,60,76,78,81,75,80,71,77,72,CM
181,75,0,3,79.0,54.0,79.0,80.0,81.0,80.0,85,78,83,54,69,75,77,83,84,44,LB
180,81,1,4,80.0,76.0,83.0,88.0,46.0,64.0,81,36,78,74,82,85,84,36,60,58,LW
191,86,1,2,62.0,58.0,72.0,66.0,86.0,79.0,68,84,44,42,78,55,49,77,74,67,CB
190,84,1,2,61.0,41.0,58.0,62.0,85.0,84.0,45,83,32,30,69,66,52,89,89,47,CB
185,73,1,4,88.0,81.0,78.0,85.0,45.0,67.0,81,53,81,79,73,87,73,71,65,81,LM
184,82,0,3,88.0,77.0,82.0,83.0,68.0,80.0,91,59,79,80,75,76,79,67,80,64,LM
181,65,0,5,78.0,76.0,87.0,83.0,50.0,65.0,88,52,90,78,89,85,78,35,73,67,RW
170,71,0,4,75.0,77.0,85.0,88.0,76.0,58.0,84,43,85,82,82,88,90,53,52,44,LB
175,70,1,3,83.0,67.0,78.0,82.0,80.0,75.0,82,67,78,52,77,79,82,75,79,61,RB
180,76,1,3,91.0,81.0,70.0,82.0,35.0,70.0,69,76,70,58,55,82,76,75,63,78,ST
181,68,1,3,69.0,74.0,80.0,79.0,79.0,78.0,72,70,79,74,84,79,84,70,85,69,CDM
176,72,1,4,63.0,79.0,86.0,80.0,71.0,72.0,82,67,81,78,88,67,77,66,68,73,CM
185,79,1,2,69.0,45.0,57.0,59.0,86.0,80.0,47,83,36,44,67,52,40,90,88,38,CB
173,75,0,4,83.0,83.0,82.0,87.0,38.0,79.0,79,49,83,79,78,82,91,64,79,74,CAM
183,80,0,4,90.0,81.0,79.0,85.0,38.0,68.0,83,72,83,82,64,84,79,64,63,71,RM
172,68,1,3,78.0,71.0,79.0,86.0,75.0,78.0,69,53,75,67,79,91,90,78,79,73,CM
172,69,0,4,76.0,74.0,82.0,87.0,79.0,82.0,87,58,88,75,78,83,90,63,84,76,LB
185,84,1,4,74.0,84.0,69.0,83.0,45.0,77.0,60,86,76,33,63,77,75,88,75,90,ST
183,88,1,3,78.0,74.0,74.0,80.0,82.0,87.0,66,68,58,48,75,72,79,72,84,89,CDM
184,81,0,3,93.0,71.0,76.0,81.0,77.0,82.0,84,74,69,64,68,78,75,68,82,50,LB
188,82,0,4,82.0,78.0,79.0,84.0,45.0,66.0,72,78,84,53,78,78,75,75,42,73,CAM
171,69,0,4,84.0,78.0,80.0,87.0,56.0,57.0,75,47,73,59,78,90,91,49,64,64,CAM
179,67,1,3,59.0,72.0,75.0,78.0,84.0,75.0,68,71,68,71,81,69,77,84,86,61,CDM
177,77,0,4,80.0,82.0,78.0,84.0,31.0,67.0,78,67,84,71,66,80,83,66,57,72,RW
186,81,1,4,61.0,72.0,81.0,79.0,82.0,79.0,69,84,71,68,83,71,70,78,75,76,CDM
190,86,1,2,67.0,55.0,64.0,59.0,85.0,78.0,50,81,52,69,72,57,53,81,82,61,CB
193,80,1,3,66.0,83.0,72.0,78.0,45.0,76.0,63,83,65,54,78,62,55,64,58,67,ST
190,94,1,2,72.0,50.0,73.0,67.0,84.0,79.0,69,83,53,31,83,55,52,74,83,46,CB
178,77,1,2,66.0,55.0,76.0,72.0,84.0,76.0,80,77,68,58,80,67,73,83,87,66,CB
183,80,1,4,72.0,81.0,77.0,81.0,80.0,85.0,67,85,66,75,76,72,85,92,81,71,CM
170,66,1,4,81.0,76.0,82.0,87.0,51.0,61.0,81,43,84,78,74,91,94,72,66,61,CAM
176,65,0,4,83.0,80.0,85.0,82.0,67.0,71.0,81,50,85,84,87,83,79,38,68,80,CM
180,80,0,3,81.0,65.0,77.0,79.0,78.0,79.0,84,76,78,59,71,78,77,79,80,60,LB
189,83,1,2,81.0,25.0,44.0,62.0,85.0,81.0,27,80,30,10,61,70,60,91,86,26,CB
177,75,1,4,85.0,80.0,79.0,83.0,56.0,74.0,77,68,81,66,71,84,83,66,69,72,CF
179,72,1,5,90.0,75.0,77.0,87.0,76.0,72.0,84,67,80,69,69,94,81,80,78,65,RB
194,90,1,2,58.0,46.0,68.0,68.0,85.0,78.0,54,84,63,22,74,51,42,75,84,42,CB
196,92,1,2,68.0,49.0,55.0,63.0,84.0,87.0,17,82,39,19,72,37,31,57,84,72,CB
192,88,0,3,63.0,50.0,62.0,64.0,86.0,83.0,25,82,62,56,79,32,35,70,77,72,CB
175,74,1,4,72.0,71.0,77.0,82.0,80.0,79.0,72,56,68,49,80,78,86,64,89,53,CDM
179,85,0,3,73.0,85.0,79.0,80.0,42.0,86.0,78,76,79,80,74,75,83,77,80,72,ST
181,75,1,3,69.0,83.0,65.0,77.0,36.0,69.0,47,85,76,52,54,68,75,91,58,82,ST
186,75,1,4,92.0,64.0,73.0,80.0,78.0,71.0,84,69,66,41,64,80,69,69,71,59,LWB
188,76,1,3,70.0,51.0,71.0,74.0,84.0,78.0,62,84,52,37,75,61,59,83,80,52,CB
188,81,1,3,72.0,82.0,76.0,81.0,47.0,82.0,73,85,75,51,75,75,65,74,81,92,ST
190,85,1,2,75.0,43.0,68.0,64.0,84.0,84.0,68,81,35,56,73,56,50,84,92,40,CB
188,84,1,4,81.0,84.0,78.0,83.0,63.0,84.0,79,77,80,65,72,79,61,80,82,79,LW
176,80,1,4,70.0,69.0,83.0,88.0,69.0,70.0,73,42,79,70,82,87,84,75,77,59,CM
185,77,1,3,69.0,71.0,82.0,81.0,80.0,84.0,74,68,69,70,85,75,50,83,84,49,CM
172,66,0,4,83.0,61.0,77.0,80.0,79.0,73.0,80,58,80,49,75,82,78,53,76,52,LB
171,66,0,4,82.0,76.0,82.0,86.0,59.0,63.0,83,54,85,81,76,88,82,69,63,68,LM
185,84,1,3,60.0,71.0,76.0,76.0,81.0,82.0,66,65,70,74,80,65,64,65,87,51,CDM
171,70,1,4,85.0,83.0,78.0,87.0,49.0,74.0,75,69,82,65,66,90,87,49,79,55,ST
189,88,1,3,80.0,81.0,61.0,78.0,35.0,84.0,44,83,55,62,47,67,58,80,72,70,ST
177,73,1,4,71.0,86.0,76.0,86.0,30.0,71.0,76,69,79,78,63,84,86,72,73,91,ST
175,69,0,4,78.0,71.0,82.0,84.0,76.0,70.0,88,65,83,76,81,83,85,73,77,55,LWB
184,79,0,2,77.0,54.0,68.0,71.0,84.0,79.0,78,82,59,39,63,70,68,86,88,42,LB
182,76,0,4,82.0,80.0,81.0,83.0,43.0,62.0,81,57,84,76,80,80,75,58,45,62,RW
197,84,1,2,63.0,83.0,59.0,70.0,52.0,86.0,42,92,40,37,43,62,44,79,85,71,ST
183,76,0,3,82.0,75.0,74.0,79.0,77.0,81.0,82,82,69,58,77,71,66,88,80,50,LWB
189,83,0,3,74.0,78.0,81.0,82.0,82.0,81.0,77,81,80,69,82,76,72,81,81,58,CM
189,80,0,2,81.0,42.0,68.0,70.0,83.0,86.0,59,80,50,32,75,69,60,79,90,57,CB
180,73,0,4,92.0,64.0,76.0,79.0,78.0,84.0,78,72,72,35,78,81,78,79,82,49,LB
183,72,1,4,85.0,52.0,69.0,79.0,81.0,75.0,73,51,74,45,58,84,72,67,78,44,RB
177,75,1,4,88.0,77.0,83.0,84.0,35.0,72.0,83,64,86,78,82,86,71,69,62,77,CAM
171,73,1,4,69.0,67.0,83.0,88.0,72.0,70.0,79,51,83,60,85,85,90,69,70,69,CM
175,73,1,4,84.0,81.0,72.0,86.0,39.0,73.0,66,77,76,54,66,91,87,79,73,75,ST
178,67,0,5,93.0,77.0,77.0,86.0,36.0,56.0,81,43,82,64,76,89,80,58,54,75,RW
178,70,1,3,74.0,79.0,84.0,83.0,55.0,65.0,82,59,81,83,83,80,76,54,68,60,CAM
182,78,1,3,86.0,74.0,78.0,79.0,77.0,80.0,66,59,70,66,84,76,68,62,81,59,CM
181,75,1,2,81.0,45.0,64.0,72.0,84.0,78.0,45,79,42,26,75,71,74,88,75,43,CB
181,72,1,5,82.0,79.0,76.0,86.0,40.0,68.0,73,69,82,64,67,86,79,73,68,68,CF
188,80,1,2,80.0,51.0,60.0,61.0,82.0,87.0,46,81,44,47,75,62,48,89,94,57,CB
190,82,1,2,40.0,41.0,62.0,63.0,86.0,73.0,38,77,53,45,72,49,53,76,81,37,CB
184,78,1,3,57.0,79.0,85.0,78.0,75.0,69.0,84,59,88,82,86,69,59,33,67,82,CM
185,82,0,4,82.0,84.0,82.0,80.0,55.0,70.0,86,84,91,87,79,78,64,84,64,76,RM
174,75,1,4,62.0,75.0,84.0,82.0,76.0,71.0,80,55,83,81,87,76,80,49,83,79,CDM
181,80,0,3,83.0,68.0,76.0,76.0,79.0,82.0,83,74,80,55,72,80,78,86,85,59,LB
181,80,1,4,61.0,84.0,81.0,81.0,60.0,73.0,74,65,77,75,79,70,79,72,74,83,CAM
179,70,1,4,78.0,79.0,82.0,82.0,59.0,67.0,81,59,77,78,84,87,86,76,60,70,CAM
172,68,1,5,69.0,79.0,80.0,88.0,52.0,59.0,78,48,90,86,77,89,92,58,59,70,CAM
181,76,1,4,62.0,78.0,88.0,81.0,53.0,52.0,86,52,89,87,90,72,81,49,46,67,CM
180,72,0,3,45.0,64.0,82.0,79.0,83.0,72.0,80,76,84,62,85,72,72,76,67,54,CB
177,71,1,4,68.0,75.0,83.0,84.0,55.0,69.0,82,47,81,72,82,76,83,58,59,79,CAM
173,66,1,5,83.0,67.0,79.0,85.0,74.0,60.0,79,71,82,67,71,91,87,71,73,68,RM
175,73,1,4,75.0,82.0,74.0,82.0,44.0,72.0,68,75,74,74,70,81,82,76,73,79,ST
174,66,1,3,69.0,62.0,71.0,78.0,83.0,77.0,60,69,60,66,76,79,82,86,83,55,CDM
187,80,1,3,82.0,61.0,74.0,78.0,79.0,79.0,75,72,66,39,71,79,61,84,77,53,RB
176,79,1,4,66.0,75.0,80.0,88.0,59.0,59.0,78,55,88,76,80,81,90,60,58,74,CAM
180,66,1,5,89.0,77.0,73.0,87.0,34.0,75.0,76,47,64,51,65,87,79,58,72,72,CF
179,79,1,4,89.0,83.0,74.0,86.0,27.0,67.0,71,69,79,78,55,85,88,60,50,89,ST
179,70,1,4,68.0,74.0,83.0,82.0,71.0,72.0,81,65,85,78,82,74,80,61,63,69,CM
185,72,1,2,67.0,49.0,71.0,65.0,84.0,83.0,67,81,57,46,74,66,63,83,87,51,CB
177,67,1,3,77.0,75.0,77.0,79.0,77.0,81.0,69,59,69,71,80,76,81,74,84,85,CDM
176,70,0,4,76.0,76.0,82.0,85.0,32.0,55.0,84,50,87,81,75,80,82,50,38,72,RW
175,71,1,4,80.0,76.0,80.0,85.0,52.0,66.0,81,39,82,81,72,91,88,60,57,79,LM
170,67,0,4,82.0,65.0,78.0,82.0,76.0,68.0,83,56,78,51,73,86,88,75,75,53,LB
167,66,1,3,90.0,78.0,77.0,79.0,59.0,79.0,78,77,80,64,76,83,82,75,82,53,RW
178,76,1,4,67.0,78.0,84.0,85.0,59.0,57.0,81,53,85,85,83,83,77,45,57,78,CAM
186,86,1,3,78.0,78.0,78.0,80.0,84.0,87.0,69,82,77,64,83,72,75,87,88,60,CM
185,76,1,3,66.0,68.0,71.0,73.0,82.0,83.0,68,75,61,48,75,61,73,80,85,80,CDM
171,69,0,3,87.0,65.0,81.0,83.0,74.0,71.0,82,66,85,81,79,84,86,64,69,54,LB
185,75,0,2,68.0,40.0,56.0,68.0,85.0,78.0,36,78,36,24,70,55,53,79,84,34,CB
183,72,0,4,79.0,80.0,81.0,85.0,36.0,69.0,77,62,78,75,79,90,82,65,85,76,RW
172,65,0,3,80.0,55.0,73.0,76.0,81.0,81.0,76,82,66,40,75,77,81,90,84,46,LB
195,99,1,2,65.0,42.0,59.0,51.0,83.0,81.0,34,84,28,30,69,33,32,39,85,32,CB
181,71,0,3,83.0,73.0,82.0,78.0,77.0,73.0,86,68,87,79,81,75,70,81,76,81,LB
190,80,0,4,80.0,83.0,81.0,83.0,52.0,75.0,75,77,86,87,82,87,75,65,67,75,CF
180,70,1,4,78.0,76.0,80.0,82.0,71.0,79.0,69,50,84,73,81,78,79,67,69,65,CM
170,63,1,4,94.0,73.0,74.0,86.0,50.0,52.0,78,46,78,56,62,90,89,64,47,59,RM
185,86,1,3,76.0,47.0,63.0,68.0,81.0,83.0,35,79,47,71,74,68,53,82,85,41,CB
185,78,1,4,86.0,83.0,75.0,81.0,48.0,80.0,76,74,76,66,67,74,71,66,84,65,LM
186,81,0,2,72.0,45.0,67.0,66.0,83.0,79.0,55,81,59,31,74,61,58,84,79,49,CB
175,73,1,4,75.0,78.0,84.0,84.0,54.0,60.0,81,35,85,84,82,86,83,54,68,74,CAM
185,75,1,3,61.0,72.0,79.0,77.0,79.0,79.0,70,68,68,64,83,69,60,65,72,60,CDM
178,68,0,5,77.0,74.0,83.0,84.0,58.0,62.0,84,52,81,83,81,85,83,46,63,63,CAM
180,80,1,3,59.0,75.0,85.0,77.0,74.0,73.0,78,53,85,84,85,68,73,67,83,76,CM
178,73,1,4,84.0,81.0,73.0,85.0,57.0,77.0,71,77,77,58,71,87,86,76,85,63,LW
188,77,1,3,81.0,30.0,66.0,69.0,83.0,78.0,69,74,41,29,65,63,65,76,81,26,CB
189,70,0,4,63.0,78.0,79.0,82.0,74.0,71.0,72,67,75,59,80,71,67,46,68,67,CM
177,69,1,4,89.0,70.0,73.0,86.0,37.0,59.0,74,50,69,58,59,87,88,79,45,61,LW
190,82,1,2,60.0,65.0,70.0,72.0,85.0,88.0,59,79,61,45,78,60,44,81,89,56,CDM
186,90,1,2,81.0,43.0,62.0,68.0,81.0,81.0,48,82,32,28,72,60,66,87,83,39,CB
185,76,0,2,75.0,49.0,72.0,71.0,83.0,80.0,71,79,68,55,77,74,63,82,83,45,CB
178,77,0,4,93.0,78.0,74.0,84.0,33.0,64.0,74,57,79,79,66,86,84,77,55,71,RM
178,77,0,3,76.0,53.0,77.0,78.0,78.0,75.0,82,68,71,67,73,70,72,86,73,52,LWB
185,80,1,2,78.0,43.0,56.0,64.0,85.0,79.0,40,83,45,49,61,76,57,73,88,56,CB
181,71,1,4,83.0,78.0,73.0,83.0,53.0,80.0,73,83,74,65,61,79,73,86,84,77,ST
188,80,1,2,80.0,61.0,66.0,72.0,78.0,89.0,73,84,50,35,65,68,60,92,83,48,RB
176,68,0,4,91.0,76.0,76.0,84.0,49.0,72.0,78,45,81,75,70,88,79,74,76,73,RM
192,77,1,4,84.0,82.0,68.0,79.0,29.0,69.0,61,77,70,57,47,79,66,71,52,75,ST
185,80,1,2,66.0,53.0,71.0,74.0,81.0,79.0,50,71,58,53,80,53,61,74,82,71,CDM
183,75,0,4,96.0,67.0,71.0,82.0,75.0,75.0,74,64,67,44,58,85,82,77,77,60,LB
185,74,1,3,64.0,72.0,79.0,82.0,66.0,67.0,68,51,77,41,88,80,78,54,60,49,CM
188,78,0,3,78.0,83.0,58.0,78.0,35.0,76.0,48,84,63,47,58,68,47,83,76,67,ST
179,76,1,4,71.0,72.0,81.0,88.0,69.0,72.0,75,56,76,62,81,84,91,60,73,60,CAM
192,86,1,3,64.0,72.0,74.0,74.0,82.0,85.0,69,83,63,53,76,66,58,90,76,70,CDM
186,78,1,2,83.0,50.0,69.0,71.0,83.0,82.0,72,81,60,40,70,69,63,86,82,60,CB
184,77,1,4,82.0,79.0,78.0,82.0,35.0,66.0,77,73,71,60,78,82,76,75,45,66,RW
191,80,0,2,71.0,38.0,67.0,70.0,84.0,80.0,55,85,45,28,76,69,52,78,79,42,CB
179,72,1,4,67.0,76.0,81.0,86.0,50.0,60.0,78,43,72,75,79,86,86,55,51,66,CAM
179,75,1,4,68.0,80.0,84.0,81.0,44.0,55.0,84,65,86,77,83,69,69,31,55,75,RM
188,77,1,3,79.0,83.0,69.0,73.0,34.0,79.0,68,75,68,78,61,72,48,68,85,80,ST
177,70,1,5,70.0,77.0,81.0,85.0,37.0,68.0,82,62,86,80,77,85,77,32,76,70,LW
189,85,1,3,68.0,83.0,73.0,75.0,41.0,84.0,72,79,77,70,69,66,61,74,83,77,ST
185,78,1,3,70.0,75.0,76.0,76.0,78.0,84.0,65,61,69,68,79,73,68,77,84,67,CM
186,89,1,3,58.0,84.0,71.0,78.0,29.0,71.0,68,77,74,69,63,64,67,72,50,70,ST
191,84,1,2,32.0,46.0,62.0,63.0,83.0,77.0,47,85,51,32,69,43,51,74,83,43,CB
189,86,0,3,76.0,62.0,72.0,67.0,83.0,78.0,70,78,66,70,74,56,60,89,80,66,CB
179,78,1,3,56.0,65.0,73.0,76.0,82.0,69.0,63,72,74,47,77,71,80,81,82,61,CDM
